기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20231,1150054000,화곡1동,CS100009,호프-간이주점,5212202874 ,87703 ,3271671945 ,1940530929 ,676584426 ,576061768 ,630977901 ,577260418 ,810787432 ,1057162382 ,883368547 ,2164177543 ,302944555 ,45242343 ,77422482 ,678656372 ,1943759579 ,4022223149 ,1070169994 ,27858926 ,765833969 ,1467398127 ,1203938978 ,962660806 ,664702341 ,56931 ,30772 ,10768 ,11366 ,11205 ,10345 ,13247 ,16469 ,14303 ,28732 ,1228 ,427 ,814 ,16628 ,39874 ,60215 ,26449 ,725 ,19555 ,26463 ,18635 ,12933 ,8354 
20231,1150054000,화곡1동,CS100010,커피-음료,1577118862 ,195072 ,1065005632 ,512113230 ,214557115 ,238655332 ,193886581 ,207779449 ,210127155 ,237911789 ,274201441 ,1913215 ,144582638 ,341903254 ,384251618 ,549552825 ,154915312 ,646302881 ,924784482 ,26095768 ,528502662 ,506838998 ,234670048 ,193877023 ,81102866 ,131298 ,63774 ,26034 ,27170 ,24699 ,25546 ,27849 ,29846 ,33928 ,164 ,21056 ,45800 ,49361 ,61684 ,17007 ,82159 ,112592 ,4017 ,67330 ,63832 ,31403 ,19574 ,8595 
20231,1150054000,화곡1동,CS200001,일반교습학원,1533208451 ,3748 ,1452087119 ,81121332 ,287135898 ,324875835 ,179699754 ,400933964 ,259441668 ,62528540 ,18592792 ,1216896 ,21219937 ,99470910 ,538944820 ,731442162 ,140913726 ,801446009 ,731762442 ,0 ,31393198 ,64248062 ,1146415499 ,257099124 ,34052568 ,3580 ,168 ,671 ,843 ,535 ,952 ,579 ,115 ,53 ,7 ,69 ,288 ,1370 ,1734 ,280 ,1857 ,1891 ,0 ,51 ,175 ,2706 ,703 ,113 
20231,1150054000,화곡1동,CS200003,예술학원,102960529 ,393 ,86275629 ,16684900 ,25751544 ,27895483 ,15476995 ,6730685 ,10420922 ,15288778 ,1396122 ,0 ,1454294 ,9267941 ,37472063 ,37471771 ,17294460 ,27406467 ,75554062 ,0 ,8310521 ,27413867 ,44078953 ,17717857 ,5439331 ,357 ,36 ,91 ,106 ,52 ,50 ,58 ,30 ,6 ,0 ,6 ,30 ,171 ,151 ,35 ,127 ,266 ,0 ,39 ,84 ,220 ,39 ,11 
20231,1150054000,화곡1동,CS200005,스포츠 강습,388331404 ,1179 ,379522740 ,8808664 ,88835298 ,94683275 ,82115569 ,64487473 ,49401125 ,8699355 ,109309 ,0 ,4144848 ,53659877 ,45420389 ,264070670 ,21035620 ,77919530 ,308503414 ,0 ,92540726 ,134699356 ,107373616 ,35693978 ,16115267 ,1142 ,37 ,265 ,318 ,221 ,200 ,138 ,32 ,5 ,0 ,23 ,113 ,218 ,753 ,72 ,255 ,915 ,0 ,316 ,331 ,343 ,130 ,49 
20231,1150054000,화곡1동,CS200006,일반의원,9839659979 ,461219 ,7919648630 ,1920011349 ,1867885170 ,1415415089 ,1301243784 ,1637805033 ,1697299554 ,1805436014 ,114575335 ,156728857 ,2562018556 ,3030138234 ,2705606021 ,1346650544 ,38517767 ,4363891241 ,5473806981 ,12301789 ,1050474189 ,2200944712 ,1935850876 ,2208002819 ,2430123836 ,390669 ,70550 ,92411 ,72968 ,61606 ,76888 ,86796 ,68653 ,1897 ,254 ,113191 ,129104 ,142959 ,75683 ,28 ,214929 ,246226 ,983 ,47218 ,108545 ,105989 ,85832 ,112588 
20231,1150054000,화곡1동,CS200007,치과의원,2506986869 ,20787 ,2147208485 ,359778384 ,379157772 ,454074194 ,408239577 ,286227366 ,619509576 ,335171588 ,24606796 ,0 ,405325498 ,1004074178 ,593558282 ,481180044 ,22848867 ,1432927100 ,1074059769 ,3757279 ,123583488 ,415496205 ,397277171 ,743626574 ,823246152 ,17743 ,3044 ,3678 ,4108 ,3072 ,3057 ,3828 ,2876 ,168 ,0 ,4006 ,6734 ,6346 ,3585 ,116 ,12071 ,8716 ,65 ,2061 ,3344 ,3865 ,4380 ,7072 
20231,1150054000,화곡1동,CS200008,한의원,1526256252 ,64555 ,1250302995 ,275953257 ,262882827 ,181397180 ,247288642 ,252904638 ,305829708 ,220028730 ,55924527 ,0 ,158367421 ,490659985 ,403788279 ,473019248 ,421319 ,568423294 ,949703859 ,0 ,64121706 ,202066282 ,266698251 ,450370622 ,534870292 ,54303 ,10252 ,11924 ,9488 ,10687 ,9574 ,12630 ,8237 ,2015 ,0 ,11926 ,21940 ,15659 ,15000 ,30 ,29149 ,35393 ,0 ,2405 ,6991 ,10559 ,14151 ,30436 
20231,1150054000,화곡1동,CS200016,당구장,139554973 ,8112 ,85169916 ,54385057 ,15847048 ,15057612 ,19109532 ,17393755 ,17761969 ,28652981 ,25732076 ,21105782 ,969957 ,8375346 ,15690404 ,51220041 ,42193443 ,127103885 ,11114131 ,662870 ,7299283 ,18858999 ,34621276 ,40321935 ,36453654 ,5101 ,3011 ,1073 ,904 ,1032 ,939 ,1153 ,1758 ,1253 ,1217 ,80 ,581 ,984 ,2774 ,2476 ,7503 ,562 ,70 ,583 ,993 ,1878 ,2479 ,2061 
20231,1150054000,화곡1동,CS200017,골프연습장,35161631 ,1028 ,21608708 ,13552923 ,4017693 ,4213148 ,2785238 ,5125310 ,5467319 ,9294984 ,4257939 ,5212141 ,0 ,814397 ,2236877 ,15500691 ,11397525 ,27164251 ,6021109 ,0 ,4636634 ,13953336 ,5483646 ,7694693 ,1417051 ,626 ,402 ,103 ,141 ,81 ,138 ,163 ,267 ,135 ,152 ,0 ,43 ,92 ,375 ,366 ,805 ,179 ,0 ,151 ,429 ,142 ,222 ,38 
