기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20231,1111055000,부암동,CS200037,노래방,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200038,독서실,3,3,0,0,0,0,0
20231,1111055000,부암동,CS200039,DVD방,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200041,사진관,4,4,0,0,0,0,0
20231,1111055000,부암동,CS200042,통번역서비스,3,3,0,0,0,0,0
20231,1111055000,부암동,CS200043,건축물청소,1,1,0,0,0,0,0
20231,1111055000,부암동,CS200044,여행사,10,10,0,0,0,0,0
20231,1111055000,부암동,CS300001,슈퍼마켓,16,16,6,1,0,0,0
20231,1111055000,부암동,CS300002,편의점,0,11,0,0,0,0,11
20231,1111055000,부암동,CS300003,컴퓨터및주변장치판매,2,2,0,0,0,0,0
20231,1111055000,부암동,CS300004,핸드폰,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300005,주류도매,2,2,0,0,0,0,0
20231,1111055000,부암동,CS300006,미곡판매,3,3,0,0,0,0,0
20231,1111055000,부암동,CS300008,수산물판매,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300010,반찬가게,6,6,0,0,0,0,0
20231,1111055000,부암동,CS300011,일반의류,27,27,4,1,4,1,0
20231,1111055000,부암동,CS300012,한복점,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300013,유아의류,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300015,가방,4,4,0,0,0,0,0
20231,1111055000,부암동,CS300017,시계및귀금속,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300018,의약품,4,4,0,0,25,1,0
20231,1111055000,부암동,CS300019,의료기기,2,2,0,0,0,0,0
20231,1111055000,부암동,CS300020,서적,6,6,0,0,0,0,0
20231,1111055000,부암동,CS300021,문구,3,4,0,0,0,0,1
20231,1111055000,부암동,CS300022,화장품,7,7,0,0,29,2,0
20231,1111055000,부암동,CS300023,미용재료,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300024,운동/경기용품,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300027,섬유제품,6,6,0,0,0,0,0
20231,1111055000,부암동,CS300028,화초,13,13,0,0,0,0,0
20231,1111055000,부암동,CS300029,애완동물,4,5,20,1,0,0,1
20231,1111055000,부암동,CS300031,가구,3,3,0,0,0,0,0
20231,1111055000,부암동,CS300032,가전제품,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300033,철물점,3,3,0,0,0,0,0
20231,1111055000,부암동,CS300035,인테리어,3,3,67,2,0,0,0
20231,1111055000,부암동,CS300036,조명용품,3,3,0,0,0,0,0
20231,1111055000,부암동,CS300038,자동차부품,1,1,0,0,0,0,0
20231,1111055000,부암동,CS300041,예술품,10,10,0,0,0,0,0
20231,1111055000,부암동,CS300042,주유소,3,3,0,0,0,0,0
20231,1111055000,부암동,CS300043,전자상거래업,68,68,0,0,7,5,0
20231,1111056000,평창동,CS100001,한식음식점,58,63,2,1,2,1,5
20231,1111056000,평창동,CS100002,중식음식점,4,4,0,0,0,0,0
20231,1111056000,평창동,CS100003,일식음식점,4,4,0,0,0,0,0
20231,1111056000,평창동,CS100004,양식음식점,9,9,0,0,0,0,0
20231,1111056000,평창동,CS100005,제과점,3,5,0,0,0,0,2
20231,1111056000,평창동,CS100006,패스트푸드점,5,7,0,0,0,0,2
20231,1111056000,평창동,CS100007,치킨전문점,0,2,0,0,0,0,2
20231,1111056000,평창동,CS100008,분식전문점,11,12,17,2,0,0,1
20231,1111056000,평창동,CS100009,호프-간이주점,11,12,0,0,0,0,1
20231,1111056000,평창동,CS100010,커피-음료,22,25,12,3,12,3,3
20231,1111056000,평창동,CS200001,일반교습학원,24,24,0,0,0,0,0
20231,1111056000,평창동,CS200002,외국어학원,7,7,14,1,14,1,0
20231,1111056000,평창동,CS200003,예술학원,12,12,25,3,17,2,0
20231,1111056000,평창동,CS200005,스포츠 강습,11,11,0,0,0,0,0
20231,1111056000,평창동,CS200006,일반의원,4,4,25,1,0,0,0
20231,1111056000,평창동,CS200007,치과의원,4,4,0,0,0,0,0
20231,1111056000,평창동,CS200008,한의원,5,5,0,0,0,0,0
20231,1111056000,평창동,CS200009,동물병원,1,1,100,1,0,0,0
20231,1111056000,평창동,CS200010,변호사사무소,1,1,0,0,0,0,0
20231,1111056000,평창동,CS200013,기타법무서비스,2,2,0,0,0,0,0
20231,1111056000,평창동,CS200016,당구장,4,4,0,0,0,0,0
20231,1111056000,평창동,CS200017,골프연습장,4,4,25,1,0,0,0
20231,1111056000,평창동,CS200019,PC방,2,2,0,0,0,0,0
20231,1111056000,평창동,CS200024,스포츠클럽,4,4,0,0,0,0,0
20231,1111056000,평창동,CS200025,자동차수리,6,7,14,1,14,1,1
20231,1111056000,평창동,CS200027,모터사이클수리,0,0,0,0,0,1,0
20231,1111056000,평창동,CS200028,미용실,20,20,0,0,0,0,0
20231,1111056000,평창동,CS200029,네일숍,1,1,0,0,0,0,0
20231,1111056000,평창동,CS200030,피부관리실,6,6,0,0,0,0,0
20231,1111056000,평창동,CS200031,세탁소,6,7,0,0,0,0,1
20231,1111056000,평창동,CS200032,가전제품수리,1,1,0,0,0,0,0
20231,1111056000,평창동,CS200033,부동산중개업,54,54,0,0,4,2,0
20231,1111056000,평창동,CS200034,여관,3,3,0,0,0,0,0
20231,1111056000,평창동,CS200037,노래방,2,2,0,0,0,0,0
20231,1111056000,평창동,CS200038,독서실,2,2,0,0,0,0,0
20231,1111056000,평창동,CS200040,녹음실,2,2,0,0,0,0,0
20231,1111056000,평창동,CS200041,사진관,14,14,0,0,0,0,0
20231,1111056000,평창동,CS200042,통번역서비스,4,4,0,0,0,0,0
20231,1111056000,평창동,CS200043,건축물청소,4,4,0,0,0,0,0
20231,1111056000,평창동,CS200044,여행사,6,6,0,0,0,0,0
20231,1111056000,평창동,CS200046,의류임대,1,1,0,0,0,0,0
20231,1111056000,평창동,CS300001,슈퍼마켓,18,21,5,1,5,1,3
20231,1111056000,평창동,CS300002,편의점,1,16,6,1,6,1,15
20231,1111056000,평창동,CS300003,컴퓨터및주변장치판매,3,3,0,0,0,0,0
20231,1111056000,평창동,CS300004,핸드폰,2,2,0,0,50,1,0
20231,1111056000,평창동,CS300005,주류도매,3,3,0,0,0,0,0
20231,1111056000,평창동,CS300006,미곡판매,4,4,0,0,0,0,0
20231,1111056000,평창동,CS300007,육류판매,7,7,0,0,0,0,0
20231,1111056000,평창동,CS300009,청과상,2,2,0,0,50,1,0
20231,1111056000,평창동,CS300010,반찬가게,4,4,0,0,0,0,0
