기준_년분기_코드,행정동_코드,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
20233,1135066500,상계3?4동,HL,상권축소,110,51,107,52
20232,1135066500,상계3?4동,HL,상권축소,107,51,106,52
20231,1135066500,상계3?4동,HL,상권축소,105,51,104,52
20233,1135067000,상계5동,LL,다이나믹,100,48,107,52
20232,1135067000,상계5동,LL,다이나믹,98,48,106,52
20231,1135067000,상계5동,LL,다이나믹,97,48,104,52
20233,1135069500,상계6?7동,LL,다이나믹,103,49,107,52
20232,1135069500,상계6?7동,LL,다이나믹,101,49,106,52
20231,1135069500,상계6?7동,LL,다이나믹,100,48,104,52
20233,1135070000,상계8동,LL,다이나믹,96,51,107,52
20232,1135070000,상계8동,LL,다이나믹,95,51,106,52
20231,1135070000,상계8동,LL,다이나믹,94,51,104,52
20233,1135071000,상계9동,LH,상권확장,106,52,107,52
20232,1135071000,상계9동,LH,상권확장,104,52,106,52
20231,1135071000,상계9동,LH,상권확장,101,52,104,52
20233,1135072000,상계10동,LL,다이나믹,88,46,107,52
20232,1135072000,상계10동,LL,다이나믹,87,46,106,52
20231,1135072000,상계10동,LL,다이나믹,84,46,104,52
20233,1138051000,녹번동,LL,다이나믹,92,51,107,52
20232,1138051000,녹번동,LL,다이나믹,90,51,106,52
20231,1138051000,녹번동,LL,다이나믹,89,51,104,52
20233,1138052000,불광1동,LH,상권확장,105,54,107,52
20232,1138052000,불광1동,LH,상권확장,104,54,106,52
20231,1138052000,불광1동,LH,상권확장,102,54,104,52
20233,1138053000,불광2동,HL,상권축소,111,51,107,52
20232,1138053000,불광2동,HL,상권축소,109,51,106,52
20231,1138053000,불광2동,HL,상권축소,106,51,104,52
20233,1138055100,갈현1동,LL,다이나믹,100,50,107,52
20232,1138055100,갈현1동,LL,다이나믹,98,50,106,52
20231,1138055100,갈현1동,LL,다이나믹,96,50,104,52
20233,1138055200,갈현2동,LL,다이나믹,96,50,107,52
20232,1138055200,갈현2동,LL,다이나믹,94,49,106,52
20231,1138055200,갈현2동,LL,다이나믹,93,49,104,52
20233,1138056000,구산동,LL,다이나믹,97,51,107,52
20232,1138056000,구산동,LL,다이나믹,96,50,106,52
20231,1138056000,구산동,LL,다이나믹,94,50,104,52
20233,1138057000,대조동,LL,다이나믹,106,52,107,52
20232,1138057000,대조동,LL,다이나믹,104,51,106,52
20231,1138057000,대조동,LL,다이나믹,103,51,104,52
20233,1138058000,응암1동,LL,다이나믹,105,52,107,52
20232,1138058000,응암1동,LL,다이나믹,104,52,106,52
20231,1138058000,응암1동,LL,다이나믹,103,51,104,52
20233,1138059000,응암2동,LL,다이나믹,83,47,107,52
20232,1138059000,응암2동,LL,다이나믹,83,47,106,52
20231,1138059000,응암2동,LL,다이나믹,81,47,104,52
20233,1138060000,응암3동,HL,상권축소,113,51,107,52
20232,1138060000,응암3동,HL,상권축소,111,51,106,52
20231,1138060000,응암3동,HL,상권축소,110,51,104,52
20233,1138062500,역촌동,LL,다이나믹,97,49,107,52
20232,1138062500,역촌동,LL,다이나믹,95,49,106,52
20231,1138062500,역촌동,LL,다이나믹,94,48,104,52
20233,1138063100,신사1동,LL,다이나믹,104,49,107,52
20232,1138063100,신사1동,LL,다이나믹,102,49,106,52
20231,1138063100,신사1동,LL,다이나믹,100,49,104,52
20233,1138063200,신사2동,LL,다이나믹,98,51,107,52
20232,1138063200,신사2동,LL,다이나믹,95,50,106,52
20231,1138063200,신사2동,LL,다이나믹,94,50,104,52
